"#Table S1. Description of the data included in MATEdb. Phylum, Subphylum, Class, Subclass, Superorder, Order, Family, Genus and Species_or_Subspecies correspond to those taxonomic levels using the information from NCBI Taxonomy and curating it when required. NCBI_Taxonomy_ID stands for NCBI's Taxonomy ID. Code corresponds to a four letter plus one number code used for each dataset. The same four letters are used when a specie comprises more than one dataset and the number is changed. Genome_or_Transcriptome for whether the data corresponds to a genome or a transcriptome, Sequencing_Technology to describe the sequencing technology used to generate te data. Database corresponds to the source of the raw data and Accession_Number refers to the accession number in the aforementioned database. Reference contains the publication where the generation of the data is described. Alternative_repository refers to any other source with additional information for that given dataset. BUSCO_Database refers to the database used to quantify completeness metrics. Trinity_C_plus_F Trinity_C Trinity_S Trinity_D Trinity_F Trinity_M each refer to the complete plus fragmented genes, complete, single copy, duplicated, fragmented an missing genes as determined by BUSCO in the assemblies produced by Trinity. Filtered_C_plus_F Filtered_C Filtered_S Filtered_D Filtered_F Filtered_M refer to the aforementioned parameters after filtering the data using BlobTools. Protein_Number refers to the number of proteins identified by TransDecoder, C_plus_F C S D F M refere to the same parameters previously described as part of BUSCO's output and Eggnog refers the the number of proteins whose annotation was possible using eggNOG-mapper. Fields # contigs (>= 0 bp), # contigs (>= 1000 bp), # contigs (>= 5000 bp), # contigs (>= 10000 bp), # contigs (>= 25000 bp), # contigs (>= 50000 bp), Total length (>= 0 bp), Total length (>= 1000 bp), Total length (>= 5000 bp), Total length (>= 10000 bp), Total length (>= 25000 bp), Total length (>= 50000 bp), # contigs, Largest contig, Total length, GC (%), N50, N75, L50, L75 and # N's per 100 kbp describe the basic statistics calculated using QUAST for all the genomic datasets in the database. The fields # Transcripts and # Longest isoforms are calculated for the transcriptomes in the database."																																																												
																																																												
Phylum	Subphylum	Class	Subclass	Superorder	Order	Family	Genus	Species_or_Subspecies	NCBI_Taxonomy_ID	Code	Genome_or_Transcriptome	Sequencing_Technology	Database	Accession_Number	Reference	Alternative_repository	BUSCO_Database	Trinity_C_plus_F	Trinity_C	Trinity_S	Trinity_D	Trinity_F	Trinity_M	Filtered_C_plus_F	Filtered_C	Filtered_S	Filtered_D	Filtered_F	Filtered_M	Protein_Number	C_plus_F	C	S	D	F	M	Eggnog	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp	# Transcripts	# Longest isoforms
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Dictynidae	Argyroneta	Argyroneta aquatica	375087	ARAQ1	Transcriptome	Illumina HiSeq X Ten	NCBI SRA	SRR9994194			arthropoda_odb10	95.4	93.4	48.9	44.5	2	4.6	97.7	95.7	50.6	45.1	2	2.3	19151	91.5	89.6	87.2	2.4	1.9	8.5	12971	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	264629	19151
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Eresidae	Stegodyphus	Stegodyphus dumicola	202533	SDUM1	Genome	Illumina HiSeq; PacBio	NCBI Genome	GCF_010614865.1	https://www.mdpi.com/2073-4425/10/2/137		arthropoda_odb10	-	-	-	-	-	-	-	-	-	-	-	-	20837	91.5	84.5	79.4	5.1	7	8.5	17954	16531	16529	16509	16381	15102	12210	2551871595	2551870190	2551789281	2550767792	2526759377	2418783526	16530	1740957	2551871166	33.26	254130	136821	2973	6376	0.01	-	-
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Filistatidae	Kukulcania	Kukulcania hibernalis	268415	KHIB1	Transcriptome	Illumina HiSeq 2000	NCBI SRA	SRR1514878			arthropoda_odb10	89.3	81.5	69.8	11.7	7.8	10.7	91.8	83.8	72.8	11	8	8.2	14900	90.7	82.7	80.4	2.3	8	9.3	12067	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	63385	14900
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Gnaphosidae	Sergiolus	Sergiolus capulatus	1506255	SCAP1	Transcriptome	Illumina HiSeq 2000	NCBI SRA	SRR1514903			arthropoda_odb10	88.1	79.7	69.3	10.4	8.4	11.9	90.7	82.5	72	10.5	8.2	9.3	15032	90.1	81.8	79.9	1.9	8.3	9.9	12135	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	59155	15032
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Gradungulidae	Progradungula	Progradungula otwayensis	2080872	POTW1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR6998916			arthropoda_odb10	87.1	71.3	40.2	31.1	15.8	12.9	88.9	71.2	40.7	30.5	17.7	11.1	18721	83.7	65.7	64.5	1.2	18	16.3	13754	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	217425	18721
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Homalonychidae	Homalonychus	Homalonychus theologus	320780	HTHE1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR3144075			arthropoda_odb10	87.9	73.8	52.4	21.4	14.1	12.1	90.6	74.7	52.9	21.8	15.9	9.4	18673	89.3	73.4	70.1	3.3	15.9	10.7	14744	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	104521	18673
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Leptonetidae	Archoleptoneta	Archoleptoneta schusteri	1002511	ARCH1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR6997753			arthropoda_odb10	88.6	74.2	39.9	34.3	14.4	11.4	91.4	75.5	40.5	35	15.9	8.6	21982	84.3	69	67.5	1.5	15.3	15.7	16544	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	187232	21982
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Liphistiidae	Liphistius	Liphistius thaleban	1905330	LTHA1	Transcriptome	NextSeq 500	NCBI SRA	ERR1856562			arthropoda_odb10	93.3	89.5	62.7	26.8	3.8	6.7	96.4	92.4	65.5	26.9	4	3.6	16288	95.2	91.3	89.3	2	3.9	4.8	12428	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	122057	16288
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Lycosidae	Schizocosa	Schizocosa rovneri	128042	SROV1	Transcriptome	Illumina HiSeq 2000	NCBI SRA	SRR1514894			arthropoda_odb10	92.6	90.5	66.3	24.2	2.1	7.4	96.3	94	69	25	2.3	3.7	16007	93.5	91.2	88.3	2.9	2.3	6.5	12732	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	97639	16007
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Mecicobothriidae	Megahexura	Megahexura fulva	389833	MFUL1	Transcriptome	Illumina HiSeq 2000	NCBI SRA	SRR1514891			arthropoda_odb10	94.8	92.6	73.8	18.8	2.2	5.2	98.5	96.7	76.3	20.4	1.8	1.5	15746	98	96.2	92.9	3.3	1.8	2	12427	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	67172	15746
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Mimetidae	Ero	Ero leonina	1506261	ELEO1	Transcriptome	Illumina HiSeq 2000	NCBI SRA	SRR1514886			arthropoda_odb10	94.6	91.4	45.4	46	3.2	5.4	96.7	94.4	47.5	46.9	2.3	3.3	20382	94.8	92.2	89.9	2.3	2.6	5.2	14958	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	133145	20382
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Mysmenidae	Microdipoena	Microdipoena guttata	709022	MGUT1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR1333842			arthropoda_odb10	92.3	84.4	33.9	50.5	7.9	7.7	95.1	85.8	33.5	52.3	9.3	4.9	21135	92.2	82.7	81.4	1.3	9.5	7.8	15886	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	124437	21135
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Mysmenidae	Mysmena	Mysmena leichhardti	926011	MLEI1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR6998665			arthropoda_odb10	92.9	89	39.1	49.9	3.9	7.1	96.1	91.5	40.9	50.6	4.6	3.9	18698	92.5	87.7	85.5	2.2	4.8	7.5	14379	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	143772	18698
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Nicodamidae	-	Nicodamidae sp. 2 RK-2018	2080922	NICO1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR6998661			arthropoda_odb10	87	65.3	46.3	19	21.7	13	89.7	67.9	48.8	19.1	21.8	10.3	20373	84.5	62.8	61.3	1.5	21.7	15.5	15687	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	169000	20373
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Ochyroceratidae	Ochyrocera	Ochyrocera sp. RK-2018	2080925	OCHY1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR7028536			arthropoda_odb10	88.7	73.7	39.7	34	15	11.3	90.9	74.8	39.7	35.1	16.1	9.1	22065	82.9	67.6	66.3	1.3	15.3	17.1	16583	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	187860	22065
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Oecobiidae	Oecobius	Oecobius cellariorum	198414	OECO1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR1365089			arthropoda_odb10	93.4	89.7	55.1	34.6	3.7	6.6	97.2	92.3	58.2	34.1	4.9	2.8	19554	91.7	86.5	84.5	2	5.2	8.3	14774	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	192743	19554
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Oonopidae	Opopaea	Opopaea sp. RK-2018	2080926	OPOP1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR6998659			arthropoda_odb10	86.5	71.5	42.7	28.8	15	13.5	88.8	73	43.2	29.8	15.8	11.2	34363	83.8	68.1	66.1	2	15.7	16.2	22178	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	649010	34363
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Orsolobidae	-	Orsolobidae sp. RK-2018	2080927	ORSO1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR6998651			arthropoda_odb10	85.4	67.5	46.7	20.8	17.9	14.6	87.9	68.1	46.6	21.5	19.8	12.1	24452	85.2	65.1	63.3	1.8	20.1	14.8	17582	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	156804	24452
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Pararchaeidae	Pararchaea	Pararchaea alba	1654964	PALB1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR6998655			arthropoda_odb10	89.6	74.7	46.4	28.3	14.9	10.4	91.3	73.8	46	27.8	17.5	8.7	22707	86.2	68.6	67.1	1.5	17.6	13.8	16284	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	195826	22707
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Pholcidae	Pholcus	Pholcus manueli	393849	PMAN1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR1365208			arthropoda_odb10	89.7	76.7	54	22.7	13	10.3	92.2	78.5	55.3	23.2	13.7	7.8	18920	88.5	74.7	72.7	2	13.8	11.5	14732	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	122749	18920
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Salticidae	Habronattus	Habronattus ustulatus	158281	HUST1	Transcriptome	Illumina HiSeq 2000	NCBI SRA	SRR1656783			arthropoda_odb10	91.8	88.3	73	15.3	3.5	8.2	94.9	91.7	75.3	16.4	3.2	5.1	16386	94.4	91.1	88.9	2.2	3.3	5.6	12864	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	69077	16386
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Segestriidae	Segestria	Segestria sp. NG-2016	1794826	SEGE1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR3144084			arthropoda_odb10	87.7	78.1	55.7	22.4	9.6	12.3	91.3	81.2	57.7	23.5	10.1	8.7	20667	90.3	80	76.6	3.4	10.3	9.7	15264	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	144737	20667
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Sicariidae	Loxosceles	Loxosceles deserta	424440	LDES1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR3144077			arthropoda_odb10	89.2	84.6	72.9	11.7	4.6	10.8	93.3	87.9	75.5	12.4	5.4	6.7	16170	92.6	87.3	84.7	2.6	5.3	7.4	12323	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	87901	16170
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Theridiidae	Parasteatoda	Parasteatoda tepidariorum	114398	PTEP1	Genome	Chicago; Dovetail Hi-C; Illumina HiSeq	NCBI Genome	GCF_000365465.2			arthropoda_odb10	-	-	-	-	-	-	-	-	-	-	-	-	18601	96.1	94.6	88.3	6.3	1.5	3.9	15722	16533	16440	6841	3044	1123	730	1445396121	1445308319	1420255188	1393817241	1365471422	1352664975	16533	27004647	1445396121	29.46	4055356	1817429	94	225	18437.23	-	-
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Theridiosomatidae	Theridiosoma	Theridiosoma savannum	2080868	TSAV1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR7028533			arthropoda_odb10	90	73.2	43.5	29.7	16.8	10	91.9	75.1	45.9	29.2	16.8	8.1	24086	87.3	70.8	69.4	1.4	16.5	12.7	17147	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	252193	24086
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Zoropsidae	Tengella	Tengella radiata	389058	TRAD1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR7028532			arthropoda_odb10	92.8	83.5	30.3	53.2	9.3	7.2	95.2	85.3	29.4	55.9	9.9	4.8	27713	88.8	78.4	76	2.4	10.4	11.2	16188	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1032008	27713
Arthropoda	Chelicerata	Arachnida	-	-	Opiliones	Assamiidae	Dampetrus	Dampetrus sp. RF-2017	1955546	DAMP1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR5242745			arthropoda_odb10	92.5	84.5	56.5	28	8	7.5	95.2	86.1	57.6	28.5	9.1	4.8	19202	91.7	82.4	81.5	0.9	9.3	8.3	14257	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	132888	19202
Arthropoda	Chelicerata	Arachnida	-	-	Opiliones	Caddidae	Acropsopilio	Acropsopilio neozelandiae	1954383	ANEO1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR5235984			arthropoda_odb10	93.9	90.8	42.8	48	3.1	6.1	96.9	92.5	46.7	45.8	4.4	3.1	13914	78.1	73.5	72.7	0.8	4.6	21.9	10778	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	91465	13914
Arthropoda	Chelicerata	Arachnida	-	-	Opiliones	Cladonychiidae	Theromaster	Theromaster sp. RF-2017	1955777	THER1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR5244184			arthropoda_odb10	94.2	90.2	43.6	46.6	4	5.8	97.2	93.1	46.6	46.5	4.1	2.8	19888	86	81.3	80.2	1.1	4.7	14	14570	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	205534	19888
Arthropoda	Chelicerata	Arachnida	-	-	Opiliones	Fissiphalliidae	Fissiphallius	Fissiphallius martensi	1955530	FMAR1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR5241470			arthropoda_odb10	94.1	91.5	45.5	46	2.6	5.9	96.9	94.5	46.1	48.4	2.4	3.1	37026	95.1	91.6	78	13.6	3.5	4.9	26719	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	308592	37026
Arthropoda	Chelicerata	Arachnida	-	-	Opiliones	Ischyropsalididae	Ischyropsalis	Ischyropsalis nodifera	1348668	INOD1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR5235484			arthropoda_odb10	88.6	77.2	32.7	44.5	11.4	11.4	91.5	79	34.6	44.4	12.5	8.5	14797	77.3	65.6	65.3	0.3	11.7	22.7	11323	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	120163	14797
Arthropoda	Chelicerata	Arachnida	-	-	Opiliones	Manaosbiidae	Saramacia	Saramacia lucasae	1955541	SLUC1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR5241473			arthropoda_odb10	89.6	79.1	46.4	32.7	10.5	10.4	91.9	80.2	47.6	32.6	11.7	8.1	27017	86.7	74.4	70.6	3.8	12.3	13.3	19317	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	248570	27017
Arthropoda	Chelicerata	Arachnida	-	-	Opiliones	Nemastomatidae	Nemastomella	Nemastomella dubia	43287	NDUB1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR5235516			arthropoda_odb10	93.9	87.4	37.3	50.1	6.5	6.1	95.9	87	38	49	8.9	4.1	20122	82.5	73	71.5	1.5	9.5	17.5	14131	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	263223	20122
Arthropoda	Chelicerata	Arachnida	-	-	Opiliones	Neogoveidae	Metasiro	Metasiro americanus	397056	MAME1	Transcriptome	Illumina GAII	NCBI SRA	SRR618563			arthropoda_odb10	95.6	94.9	54.2	40.7	0.7	4.4	98.1	95.3	43.3	52	2.8	1.9	16969	93	89.7	88.3	1.4	3.3	7	12837	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	107026	16969
Arthropoda	Chelicerata	Arachnida	-	-	Opiliones	Neopilionidae	Thrasychirus	Thrasychirus gulosus	1160271	TGUL1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR5234747			arthropoda_odb10	85.5	64.4	30.7	33.7	21.1	14.5	86.4	63.9	31.6	32.3	22.5	13.6	18441	77.9	55.4	54.4	1	22.5	22.1	13606	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	147107	18441
Arthropoda	Chelicerata	Arachnida	-	-	Opiliones	Petrobunidae	Petrobunus	Petrobunus schwendingeri	1007617	PSCH1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR5237155			arthropoda_odb10	90.8	81.5	47.8	33.7	9.3	9.2	93	81.5	46.9	34.6	11.5	7	18763	88.1	76.8	75.6	1.2	11.3	11.9	13769	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	118722	18763
Arthropoda	Chelicerata	Arachnida	-	-	Opiliones	Pettalidae	Aoraki	Aoraki denticulata	526530	ADEN1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR9611067			arthropoda_odb10	94.7	90.2	44.9	45.3	4.5	5.3	97.5	93.2	47.4	45.8	4.3	2.5	21477	88.3	83	82.1	0.9	5.3	11.7	15316	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	233640	21477
Arthropoda	Chelicerata	Arachnida	-	-	Opiliones	Pettalidae	Rakaia	Rakaia minutissima	526538	RMIN1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR9611073			arthropoda_odb10	93.2	83.2	49.8	33.4	10	6.8	94.7	83.3	50	33.3	11.4	5.3	23145	87.6	76.1	75.6	0.5	11.5	12.4	16297	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	247782	23145
